,Release Date,Title,Genre,Description,Directors,Running Time
0,Not mentioned, Voyagers (2021),Adventure,"
    A crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not.                    ",Neil Burger,108 min
1,Not mentioned, Monday (2020),Drama,"
    A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?                    ",Argyris Papadimitropoulos,116 min
2,Not mentioned, Mortal Kombat (2021),Action,"
    MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.                    ",Simon McQuoid,110 min
3,Not mentioned, The Asset,Action,"
    This pic follows Anna (Maggie Q) and Rembrandt (Keaton) - two of the world's premiere assassins who share a mysterious past from Vietnam. For years, they traversed the globe competing for high profile contracts. But when Anna's mentor Moody (Jackson) is murdered, she and Rembrandt must form an uneasy alliance and return to Vietnam to track down his killer.                    ",Martin Campbell,Not mentioned
4,Not mentioned, The Mitchells vs. the Machines (2021),Animation,"
    A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.                    ",Michael Rianda,113 min
5,Not mentioned, Here Are the Young Men (2020),Drama,"
    Dublin teenagers Matthew, nihilistic Rez, and the deranged Kearney, leave school to a social vacuum of drinking and drugs, falling into shocking acts of transgression.                    ",Eoin Macken,96 min
6,Not mentioned, Wrath of Man (2021),Action,"
    The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.                    ",Guy Ritchie,Not mentioned
7,Not mentioned, Mainstream (2020),Comedy,"
    In this cautionary tale, three people struggle to preserve their identities as they form an eccentric love triangle within the fast-moving internet age.                    ",Gia Coppola,94 min
8,Not mentioned, Spiral: From the Book of Saw (2021),Crime,"
    A criminal mastermind unleashes a twisted form of justice in Spiral, the terrifying new chapter from the book of Saw.                    ",Darren Lynn Bousman,Not mentioned
9,Not mentioned, The Killing of Two Lovers (2020),Drama,"
    David desperately tries to keep his family of six together during a separation from his wife. They both agree to see other people but David struggles to grapple with his wife's new relationship.                    ",Robert Machoian,85 min
10,Not mentioned, Finding You (2021),Drama,"
    Finley, a talented aspiring violinist, meets Beckett, a famous young movie star, on the way to her college semester abroad program in a small coastal village in Ireland. An unexpected romance emerges as the heartthrob Beckett leads the uptight Finley on an adventurous reawakening, and she emboldens him to take charge of his future, until the pressures of his stardom get in the way.                    ",Brian Baugh,115 min
11,Not mentioned, Four Good Days (2020),Drama,"
    A mother helps her daughter work through four crucial days of recovery from substance abuse.                    ",Rodrigo García,100 min
12,Not mentioned, Zone 414 (2021),Sci-Fi,"
    Set in the near future in a colony of state-of-the-art humanoid robots. When its creator's daughter goes missing, he hires private investigator David Carmichael, to bring her home. David teams up with Jane, a highly advanced and self-aware A.I., to track down the missing daughter. Moving through the dangerous iron jungle, they rapidly piece together the mystery, uncovering a crime that leads them to question the origins of Zone 414 and the true purpose behind the ""City of Robots.""                    ",Andrew Baird,Not mentioned
13,Not mentioned, Cruella (2021),Comedy,"
    A live-action prequel feature film following a young Cruella de Vil.                    ",Craig Gillespie,Not mentioned
14,Not mentioned, Vivo (2021),Animation,"
    Vivo, Sony Pictures Animation's first-ever musical adventure featuring all-new original songs from Lin-Manuel Miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation.                    ",Kirk DeMicco,Not mentioned
15,Not mentioned, Spirit Untamed (2021),Animation,"
    Lucky Prescott's life is changed forever when she move from her home in the city to a small frontier town and befriends a wild mustang named Spirit.                    ",Elaine Bogan,Not mentioned
16,Not mentioned, In the Heights (2021),Drama,"
    A feature version of the Broadway musical, in which a bodega owner has mixed feelings about closing his store and retiring to the Dominican Republic after inheriting his grandmother's fortune.                    ",Jon M. Chu,120 min
17,Not mentioned, Hitman's Wife's Bodyguard (2021),Action,"
    Sequel to the 2017 action/comedy.                    ",Patrick Hughes,Not mentioned
18,Not mentioned, F9 (2021),Action,"
    Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.                    ",Justin Lin,145 min
19,Not mentioned, Top Gun: Maverick (2021),Action,"
    After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.                    ",Joseph Kosinski,Not mentioned
20,Not mentioned, Zola (2020),Comedy,"
    A stripper named Zola embarks on a wild road trip to Florida.                    ",Janicza Bravo,90 min
21,Not mentioned, Black Widow (2021),Action,"
    A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.                    ",Cate Shortland,133 min
22,Not mentioned, Space Jam: A New Legacy (2021),Animation,"
    NBA superstar LeBron James teams up with Bugs Bunny and the rest of the Looney Tunes for this long-awaited sequel.                    ",Malcolm D. Lee,Not mentioned
23,Not mentioned, The Night House (2020),Horror,"
    A widow begins to uncover her recently deceased husband's disturbing secrets.                    ",David Bruckner,108 min
24,Not mentioned, Old (2021),Thriller,"
    This summer, visionary filmmaker M. Night Shyamalan unveils a chilling, mysterious new thriller about a family on a tropical holiday who discover that the secluded beach where they are relaxing for a few hours is somehow causing them to age rapidly - reducing their entire lives into a single day.                    ",M. Night Shyamalan,Not mentioned
25,Not mentioned, Jungle Cruise (2021),Action,"
    Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.                    ",Jaume Collet-Serra,Not mentioned
26,Not mentioned, Stillwater (2021),Drama,"
    A father travels from Oklahoma to France to help his daughter who has been arrested for murder.                    ",Tom McCarthy,Not mentioned
27,Not mentioned, The Suicide Squad (2021),Action,"
    Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.                    ",James Gunn,Not mentioned
28,Not mentioned, Free Guy (2021),Action,"
    A bank teller discovers that he's actually an NPC inside a brutal, open world video game.                    ",Shawn Levy,Not mentioned
29,Not mentioned, Don't Breathe 2 (2021),Crime,"
    The Blind Man returns to terrorize more unsuspecting people.                    ",Rodo Sayagues,Not mentioned
30,Not mentioned, Paw Patrol: The Movie (2021),Animation,"
    Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.                    ",Cal Brunker,Not mentioned
31,Not mentioned, Candyman (2021),Horror,"
    A ""spiritual sequel"" to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.                    ",Nia DaCosta,Not mentioned
32,Not mentioned, Shang-Chi and the Legend of the Ten Rings (2021),Action,"
    The movie, based on Marvel Comics, will focus on Shang-Chi; 'The Master of Kung-Fu'.                    ",Destin Daniel Cretton,Not mentioned
33,Not mentioned, Reminiscence (2021),Romance,"
    A scientist discovers a way to relive your past and uses the technology to search for his long lost love.                    ",Lisa Joy,Not mentioned
34,Not mentioned, Malignant (2021),Horror,"
    Original horror thriller from director James Wan.                    ",James Wan,Not mentioned
35,Not mentioned, The Boss Baby: Family Business (2021),Animation,"
    The Templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business.                    ",Tom McGrath,Not mentioned
36,Not mentioned, Venom: Let There Be Carnage (2021),Action,"
    Plot unknown. Sequel to the 2018 film 'Venom'.                    ",Andy Serkis,Not mentioned
37,Not mentioned, The Many Saints of Newark (2021),Crime,"
    A look at the formative years of New Jersey gangster, Tony Soprano.                    ",Alan Taylor,Not mentioned
38,Not mentioned, The Eyes of Tammy Faye (2021),Biography,"
    An intimate look at the extraordinary rise, fall and redemption of televangelist Tammy Faye Bakker.                    ",Michael Showalter,Not mentioned
39,Not mentioned, Dune (2021),Adventure,"
    Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.                    ",Denis Villeneuve,Not mentioned
40,Not mentioned, No Time to Die (2021),Action,"
    James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.                    ",Cary Joji Fukunaga,163 min
41,Not mentioned, Halloween Kills (2021),Horror,"
    The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.                    ",David Gordon Green,Not mentioned
42,Not mentioned, Last Night in Soho (2021),Drama,"
    A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to fall apart with shady consequences.                    ",Edgar Wright,Not mentioned
43,Not mentioned, Ron's Gone Wrong (2021),Animation,"
    The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.                    ",Sarah Smith,Not mentioned
44,Not mentioned, Antlers (2021),Horror,"
    In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with a legendary ancestral creature who came before them.                    ",Scott Cooper,99 min
45,Not mentioned, Eternals (2021),Action,"
    The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.                    ",Chloé Zhao,Not mentioned
46,Not mentioned, Ghostbusters: Afterlife (2021),Comedy,"
    When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.                    ",Jason Reitman,Not mentioned
47,Not mentioned, Mission: Impossible 7 (2021),Action,"
    Seventh entry in the long-running Mission: Impossible series.                    ",Christopher McQuarrie,Not mentioned
48,Not mentioned, Encanto (2021),Animation,"
    The film is centered on a young girl and her family in Colombia, who all have magical powers, sadly, the young girl has no powers.                    ",Jared Bush,Not mentioned
49,Not mentioned, Nightmare Alley (2021),Drama,"
    An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.                    ",Guillermo del Toro,Not mentioned
50,Not mentioned, West Side Story (2021),Crime,"
    An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.                    ",Steven Spielberg,Not mentioned
51,Not mentioned, Spider-Man: No Way Home (2021),Action,"
    A continuation of Spider-Man Far From Home                    ",Jon Watts,Not mentioned
52,Not mentioned, The Matrix 4 (2021),Action,"
    The plot is currently unknown.                    ",Lana Wachowski,Not mentioned
53,Not mentioned, Sing 2 (2021),Animation,"
    Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.                    ",Garth Jennings,Not mentioned
